20140901,331053170.37701523,317018162.8319506
20140902,331876164.15904325,337292524.44574213
20140903,333891062.6671933,363154217.3796917
20140904,298320146.3670145,307320091.6098615
20140905,240751705.27997327,262729483.1460665
20140906,226614386.66310364,225897257.377255
20140907,243555605.77044377,259322831.63080722
20140908,297085850.84471786,311679087.53316784
20140909,332127306.0643757,347792224.009847
20140910,326519923.55347425,356170154.5150168
20140911,291684774.8430703,309129467.21795636
20140912,239271204.3475597,259756773.25219762
20140913,225355193.48805514,233939341.9356964
20140914,247528827.56824744,257954908.693261
20140915,295092964.4813257,312704038.21669203
20140916,334500637.054952,353782077.5878889
20140917,328082171.8243376,357283785.94397706
20140918,292710533.11337817,314461890.18337303
20140919,244897729.017285,262549538.2675816
20140920,227571363.8521805,238771693.3718962
20140921,253022686.05427134,261770696.3129894
20140922,298071337.9551755,315890870.5501131
20140923,336674246.8540015,358879754.7599363
20140924,332195179.42224693,361067418.96694666
20140925,294711355.8425677,319619381.7182072
20140926,250539270.71663874,267077894.81406513
20140927,231827254.93204445,243310697.07934588
20140928,257446634.22789147,266285697.74498507
20140929,302569593.5669465,319904793.4775075
20140930,338701358.32128936,363626137.10743874
